ui_charamake_parts.text was created: 8/8/2021 10:40:22 PM
Filesize is: 1681376 bytes

arm
Group 0
No50001 - ワスプ・アーム
No50002 - ディール・アーム
No50003 - ローズ・アーム
No50004 - ファーネン・アーム
No50005 - ランクス・アーム
No50006 - イオニア・アーム
No50007 - フリーゲン・アーム
No50008 - メディウム・アーム
No50009 - イルシオン・アーム
No50010 - ラミア・アーム
No50020 - ワスプ・アームＣＶ
No50030 - ディール・アームＣＶ
No50033 - ディール・アームＧＶ
No50040 - ローズ・アームＣＶ
No50043 - ローズマリー・アーム
No50044 - ローズマリー・アームＣＶ
No50045 - ローズ・アームＧＶ
No50050 - ファーネン・アームＣＶ
No50051 - ファーネン・アームＧＶ
No50060 - ランクス・アームＣＶ
No50063 - ランクス・アームＧＶ
No50070 - イオニア・アームＣＶ
No50072 - イオニア・アームＧＶ
No50080 - フリーゲン・アームＣＶ
No50083 - フリーゲン・アームＧＶ
No50090 - メディウム・アームＣＶ
No50100 - イルシオン・アームＣＶ
No50102 - イルシオン・アームＧＶ
No50110 - ラミア・アームＣＶ
No50113 - ラミア・アームＧＶ
No50120 - ヘルマ・アーム
No50121 - ヘルマ・アームＣＶ
No50123 - ヘルマ・アームＧＶ
No50130 - ファウマレディ・アーム
No50131 - ファウマレディ・アームＣＶ
No50140 - ディスタレディ・アーム
No50141 - ディスタレディ・アームＣＶ
No50150 - ロニアレディ・アーム
No50151 - ロニアレディ・アームＣＶ
No50160 - グリース・アーム
No50161 - グリース・アームＣＶ
No50163 - グリース・アームＧＶ
No50170 - ヒルベルト・アーム
No50171 - ヒルベルト・アームＣＶ
No50173 - ヒルベルト・アームＧＶ
No50180 - ローゼンＳ・アーム
No50181 - ローゼンＳ・アームＣＶ
No50183 - ローゼンＳ・アームＧＶ
No50190 - ケルビナ・アーム
No50191 - ケルビナ・アームＣＶ
No50193 - ケルビナ・アームＧＶ
No50200 - Ｎシュヴァンツ・アーム
No50201 - Ｎシュヴァンツ・アームＣＶ
No50210 - ナジン・アーム
No50211 - ナジン・アームＣＶ
No50220 - エターナルＦ・アーム
No50221 - エターナルＦ・アームＣＶ
No50230 - アルビダ・アーム
No50231 - アルビダ・アームＣＶ
No50233 - アルビダ・アームＧＶ
No50240 - アリスリーパー・アーム
No50241 - アリスリーパー・アームＣＶ
No50250 - ウィグナー・アーム
No50251 - ウィグナー・アームＣＶ
No50253 - ウィグナー・アームＧＶ
No50260 - Ｒイノセンテ・アーム
No50261 - Ｒイノセンテ・アームＣＶ
No50263 - Ｒイノセンテ・アームＧＶ
No50280 - リジェラン・アーム
No50281 - リジェラン・アームＣＶ
No50290 - バイラリン・アーム
No50291 - バイラリン・アームＣＶ
No50300 - レヴァイア・アーム
No50301 - レヴァイア・アームＣＶ
No50303 - レヴァイア・アームＧＶ
No50310 - ピオニア・アーム
No50311 - ピオニア・アームＣＶ
No50313 - ピオニア・アームＧＶ
No50320 - コーブレス・アーム
No50321 - コーブレス・アームＣＶ
No50330 - フウリンカ・アーム
No50331 - フウリンカ・アームＣＶ
No50333 - フウリンカ・アームＧＶ
No50340 - エクレピスト・アーム
No50341 - エクレピスト・アームＣＶ
No50343 - エクレピスト・アームＧＶ
No50350 - ローヴァ・アーム
No50351 - ローヴァ・アームＣＶ
No50353 - ローヴァ・アームＧＶ
No50360 - サヤヒメ・アーム
No50361 - サヤヒメ・アームＣＶ
No50363 - サヤヒメ・アームＧＶ
No50370 - リファシル・アーム
No50371 - リファシル・アームＣＶ
No50380 - ヒメセイタカ・アーム
No50390 - ヒメコンガラ・アーム
No50420 - アムアイラ・アーム
No50421 - アムアイラ・アームＣＶ
No50423 - アムアイラ・アームＧＶ
No50430 - サフィーア・アーム
No50431 - サフィーア・アームＣＶ
No50433 - サフィーア・アームＧＶ
No50440 - シャンフー・アーム
No50441 - シャンフー・アームＣＶ
No50443 - シャンフー・アームＧＶ
No50450 - ルセリア・アーム
No50451 - ルセリア・アームＣＶ
No50453 - ルセリア・アームＧＶ
No50460 - デルマーチ・アーム
No50461 - デルマーチ・アームＣＶ
No50463 - デルマーチ・アームＧＶ
No50470 - フレイジア・アーム
No50471 - フレイジア・アームＣＶ
No50490 - ワルキア・アーム
No50491 - ワルキア・アームＣＶ
No50493 - ワルキア・アームＧＶ
No50500 - アルナール・アーム
No50501 - アルナール・アームＣＶ
No50510 - ウィルカ・アーム
No50511 - ウィルカ・アームＣＶ
No50520 - ハローゼ・アーム
No50521 - ハローゼ・アームＣＶ
No50530 - コルトゥ・アーム
No50531 - コルトゥ・アームＣＶ
No50540 - ドラウリア・アーム
No50541 - ドラウリア・アームＣＶ
No50550 - クレスロ・アーム
No50551 - クレスロ・アームＣＶ
No50553 - クレスロ・アームＧＶ
No50560 - シルフォス・アーム
No50561 - シルフォス・アームＣＶ
No50570 - クロワール・アーム
No50571 - クロワール・アームＣＶ
No50580 - スティレットＧ・アーム
No50590 - フェマーレ・アーム
No50591 - フェマーレ・アームＣＶ
No50600 - エアロス・アーム
No50601 - エアロス・アームＣＶ
No50610 - シュバリア・アーム
No50611 - シュバリア・アームＣＶ
No50620 - ニンバス・アーム
No50621 - ニンバス・アームＣＶ
No50630 - アルキ・アーム
No50640 - フィリン・アーム
No50641 - フィリン・アームＣＶ
No50650 - フラメル・アーム
No50651 - フラメル・アームＣＶ
No50660 - マーヴ・アーム
No50661 - マーヴ・アームＣＶ
No50670 - マーヴィス・アーム
No50671 - マーヴィス・アームＣＶ
No50680 - 轟雷Ｇ・アーム
No50690 - バーゼラルドＧ・アーム
No50700 - 轟雷改Ｇ・アーム
No50730 - アイシリカ・アーム
No50731 - アイシリカ・アームＣＶ
No50740 - ユーテルペ・アーム
No50741 - ユーテルペ・アームＣＶ
No50770 - ナイトメア・アーム
No50771 - ナイトメア・アームＣＶ
No50773 - ナイトメア・アームＧＶ
No50790 - エグザリア・アーム
No50791 - エグザリア・アームＣＶ
No50800 - エクスマリー・アーム
No50810 - アンファング・アーム
No50820 - ソルリス・アーム
No50821 - ソルリス・アームＣＶ
No50850 - フルータ・アーム
No50870 - ユリエン・アーム

Group 1
No00000 - None
No300010 - Di Gant Arms
No300030 - Zanna Arms
No300050 - Garrest Arms
No300070 - Veterno Arms
No300090 - Di Gant Arms/B
No300120 - Zanna Arms/B
No40001 - Dista Arms
No400010 - Di Allez Arms
No40002 - Ronia Arms
No400020 - Corsero Arms
No40003 - Fauma Arms
No40004 - Joker Arms
No40005 - Magius Arms
No400050 - Svela Arms
No40006 - Sheriff Arms
No40007 - Colossus Arms
No400070 - Schanorf Arms
No40008 - Baldur Arms
No40009 - Angriff Arms
No40010 - Melder Arms
No40020 - Dista Arms CV
No40023 - Dista Arms GV
No40030 - Ronia Arms CV
No40033 - Regia Arms
No40034 - Regia Arms CV
No40035 - Ronia Arms GV
No40040 - Fauma Arms CV
No40043 - Fauma Arms GV
No40050 - Joker Arms CV
No40053 - Joker Arms GV
No40060 - Magius Arms CV
No40062 - Magius Arms GV
No40070 - Sheriff Arms CV
No40080 - Colossus Arms CV
No40083 - Colossus Arms GV
No40090 - Baldur Arms CV
No40093 - Baldur Arms GV
No40100 - Angriff Arms CV
No40104 - Angriff Arms GV
No40110 - Melder Arms CV
No40120 - Fylph Arms
No40121 - Fylph Arms CV
No40123 - Fylph Arms GV
No40130 - Gohvoid Arms
No40131 - Gohvoid Arms CV
No40133 - Gohvoid Arms GV
No40140 - Arao Arms
No40141 - Arao Arms CV
No40143 - Arao Arms GV
No40150 - Belga Arms
No40151 - Belga Arms CV
No40160 - O-Frame Arms
No40161 - O-Frame Arms CV
No40163 - O-Frame Arms GV
No40170 - Furion Arms
No40171 - Furion Arms CV
No40173 - Furion Arms GV
No40180 - Divaliese Frame Arms
No40181 - Divaliese Frame Arms CV
No40190 - Drake Arms
No40191 - Drake Arms CV
No40193 - Drake Arms GV
No40200 - Justice Armor Arms
No40201 - Justice Armor Arms CV
No40210 - Divine Kaiser Arms
No40211 - Divine Kaiser Arms CV
No40230 - Everett Arms
No40231 - Everett Arms CV
No40233 - Everett Arms GV
No40240 - Beybarrel Arms
No40241 - Beybarrel Arms CV
No40250 - Guardie Arms
No40251 - Guardie Arms CV
No40260 - Riser Frame Arms
No40261 - Riser Frame Arms CV
No40263 - Riser Frame Arms GV
No40270 - Nemethyst Arms
No40271 - Nemethyst Arms CV
No40273 - Nemethyst Arms GV
No40280 - Gurmica Arms
No40281 - Gurmica Arms CV
No40290 - Granida Arms
No40291 - Granida Arms CV
No40293 - Granida Arms GV
No40300 - Cyhadine Arms
No40301 - Cyhadine Arms CV
No40303 - Cyhadine Arms GV
No40310 - Rectagil Arms
No40311 - Rectagil Arms CV
No40313 - Rectagil Arms GV
No40320 - Freeva Arms
No40321 - Freeva Arms CV
No40323 - Freeva Arms GV
No40330 - Galeos Arms
No40331 - Galeos Arms CV
No40340 - Ancient Plate Arms
No40341 - Ancient Plate Arms CV
No40343 - Ancient Plate Arms GV
No40350 - Kongara Arms
No40360 - Seitaka Arms
No40370 - Vanthesta Arms
No40371 - Vanthesta Arms CV
No40373 - Vanthesta Arms GV
No40380 - Valiesse Arms
No40381 - Valiesse Arms CV
No40383 - Valiesse Arms GV
No40390 - Untold Divinity Arms
No40391 - Untold Divinity Arms CV
No40393 - Untold Divinity Arms GV
No40400 - Rassios Arms
No40401 - Rassios Arms CV
No40403 - Rassios Arms GV
No40410 - Accordie Arms
No40411 - Accordie Arms CV
No40413 - Accordie Arms GV
No40420 - Alberica Arms
No40421 - Alberica Arms CV
No40430 - Gigante Arms
No40431 - Gigante Arms CV
No40433 - Gigante Arms GV
No40440 - Vogulus Arms
No40441 - Vogulus Arms CV
No40450 - Galpha Arms
No40451 - Galpha Arms CV
No40460 - Dracules Arms
No40461 - Dracules Arms CV
No40470 - Glaude Arms
No40471 - Glaude Arms CV
No40480 - Dighu Arms
No40481 - Dighu Arms CV
No40490 - Rowlock Arms
No40491 - Rowlock Arms CV
No40493 - Rowlock Arms GV
No40500 - Howling Leo Arms
No40501 - Howling Leo Arms CV
No40510 - Voudam Arms
No40511 - Voudam Arms CV
No40520 - Dalmorus Arms
No40521 - Dalmorus Arms CV
No40523 - Dalmorus Arms GV
No40530 - STYLET Arms
No40540 - Cheval Arms
No40541 - Cheval Arms CV
No40543 - Cheval Arms GV
No40560 - Treyon Arms
No40561 - Treyon Arms CV
No40563 - Treyon Arms GV
No40570 - Hylow Arms
No40571 - Hylow Arms CV
No40590 - Havoc Arms
No40591 - Havoc Arms CV
No40593 - Havoc Arms GV
No40600 - Agri Arms
No40601 - Agri Arms CV
No40603 - Agri Arms GV
No40610 - Magus Arms
No40611 - Magus Arms CV
No40613 - Magus Arms GV
No40620 - Harzen Arms
No40621 - Harzen Arms CV
No40630 - Kryst Arms
No40631 - Kryst Arms CV
No40640 - KISEI Type-KU Arms
No40650 - Titangum Arms
No40651 - Titangum Arms CV
No40653 - Titangum Arms GV
No40660 - GOU-RAI Arms
No40670 - BASELARD Arms
No40690 - Zelfikar Arms
No40691 - Zelfikar Arms CV
No40693 - Zelfikar Arms GV
No40700 - Demodus Arms
No40701 - Demodus Arms CV
No40710 - PSZ Ogi Arms
No40720 - Criminal Arms
No40721 - Criminal Arms CV
No40723 - Criminal Arms GV
No40730 - Shiranui Arms
No40740 - Takemikazuchi Arms
No40750 - Liner Arm
No40751 - Liner Arm CV
No40760 - Exagia Arms
No40761 - Exagia Arms CV
No40770 - Magna Regia Arms
No40780 - Varona Arms
No40790 - Bior Arm
No50001 - Wasp Arms
No50002 - Diehl Arms
No50003 - Rhodes Arms
No50004 - Farnen Arms
No50005 - Lanx Arms
No50006 - Ionia Arms
No50007 - Fliegen Arms
No50008 - Medium Arms
No50009 - Illusion Arms
No50010 - Lamia Arms
No50020 - Wasp Arms CV
No50030 - Diehl Arms CV
No50033 - Diehl Arms GV
No50040 - Rhodes Arms CV
No50043 - Rosemary Arms
No50044 - Rosemary Arms CV
No50045 - Rhodes Arms GV
No50050 - Farnen Arms CV
No50051 - Farnen Arms GV
No50060 - Lanx Arms CV
No50063 - Lanx Arms GV
No50070 - Ionia Arms CV
No50072 - Ionia Arms GV
No50080 - Fliegen Arms CV
No50083 - Fliegen Arms GV
No50090 - Medium Arms CV
No50100 - Illusion Arms CV
No50102 - Illusion Arms GV
No50110 - Lamia Arms CV
No50113 - Lamia Arms GV
No50120 - Helma Arms
No50121 - Helma Arms CV
No50123 - Helma Arms GV
No50130 - Fauma Lady Arms
No50131 - Fauma Lady Arms CV
No50140 - Dista Lady Arms
No50141 - Dista Lady Arms CV
No50150 - Ronia Lady Arms
No50151 - Ronia Lady Arms CV
No50160 - Grizz Arms
No50161 - Grizz Arms CV
No50163 - Grizz Arms GV
No50170 - Hilbert Arms
No50171 - Hilbert Arms CV
No50173 - Hilbert Arms GV
No50180 - Rozenschwert Arms
No50181 - Rozenschwert Arms CV
No50183 - Rozenschwert Arms GV
No50190 - Cherubina Arms
No50191 - Cherubina Arms CV
No50193 - Cherubina Arms GV
No50200 - Nono Schwantz Arms
No50201 - Nono Schwantz Arms CV
No50210 - Nadine Arms
No50211 - Nadine Arms CV
No50220 - Eternal Form Arms
No50221 - Eternal Form Arms CV
No50230 - Alvida Arms
No50231 - Alvida Arms CV
No50233 - Alvida Arms GV
No50240 - Alice Reaper Arms
No50241 - Alice Reaper Arms CV
No50250 - Wigner Arms
No50251 - Wigner Arms CV
No50253 - Wigner Arms GV
No50260 - Reus Innocente Arms
No50261 - Reus Innocente Arms CV
No50263 - Reus Innocente Arms GV
No50280 - Rejelan Arms
No50281 - Rejelan Arms CV
No50290 - Bylarin Arms
No50291 - Bylarin Arms CV
No50300 - Revaia Arms
No50301 - Revaia Arms CV
No50303 - Revaia Arms GV
No50310 - Pionia Arms
No50311 - Pionia Arms CV
No50313 - Pionia Arms GV
No50320 - Cobres Arms
No50321 - Cobres Arms CV
No50330 - Windblossom Arms
No50331 - Windblossom Arms CV
No50333 - Windblossom Arms GV
No50340 - Eclepist Arms
No50341 - Eclepist Arms CV
No50343 - Eclepist Arms GV
No50350 - Roava Arms
No50351 - Roava Arms CV
No50353 - Roava Arms GV
No50360 - Luminous Princess Arms
No50361 - Luminous Princess Arms CV
No50363 - Luminous Princess Arms GV
No50370 - Refacile Arms
No50371 - Refacile Arms CV
No50380 - Himeseitaka Arms
No50390 - Himekongara Arms
No50420 - Amuaira Arms
No50421 - Amuaira Arms CV
No50423 - Amuaira Arms GV
No50430 - Sapphir Arms
No50431 - Sapphir Arms CV
No50433 - Sapphir Arms GV
No50440 - Xiangfu Arms
No50441 - Xiangfu Arms CV
No50443 - Xiangfu Arms GV
No50450 - Lucelia Arms
No50451 - Lucelia Arms CV
No50453 - Lucelia Arms GV
No50460 - Delmarch Arms
No50461 - Delmarch Arms CV
No50463 - Delmarch Arms GV
No50470 - Frasia Arms
No50471 - Frasia Arms CV
No50490 - Valkia Arms
No50491 - Valkia Arms CV
No50493 - Valkia Arms GV
No50500 - Alnaar Arms
No50501 - Alnaar Arms CV
No50510 - Wilca Arms
No50511 - Wilca Arms CV
No50520 - Hallows Arms
No50521 - Hallows Arms CV
No50530 - Cortu Arms
No50531 - Cortu Arms CV
No50540 - Draulia Arms
No50541 - Draulia Arms CV
No50550 - Creslow Arms
No50551 - Creslow Arms CV
No50553 - Creslow Arms GV
No50560 - Sylphos Arms
No50561 - Sylphos Arms CV
No50570 - Croire Arms
No50571 - Croire Arms CV
No50580 - STYLET G Arms
No50590 - Femare Arms
No50591 - Femare Arms CV
No50593 - Femare Arms GV
No50600 - Aeros Arms
No50601 - Aeros Arms CV
No50603 - Aeros Arms GV
No50610 - Chevalier Arms
No50611 - Chevalier Arms CV
No50613 - Chevalier Arms GV
No50620 - Nimbus Arms
No50621 - Nimbus Arms CV
No50630 - Arche Arms
No50631 - Arche Arms CV
No50633 - Arche Arms GV
No50640 - Philinne Arms
No50641 - Philinne Arms CV
No50643 - Philinne Arms GV
No50650 - Flamel Arms
No50651 - Flamel Arms CV
No50653 - Flamel Arms GV
No50660 - Mirv Arms
No50661 - Mirv Arms CV
No50670 - Mirvis Arms
No50671 - Mirvis Arms CV
No50680 - GOURAI G Arms
No50690 - BASELARD G Arms
No50700 - GOURAI-KAI G Arms
No50730 - Icesilica Arms
No50731 - Icesilica Arms CV
No50733 - Icesilica Arms GV
No50740 - Euterpe Arms
No50741 - Euterpe Arms CV
No50770 - Nightmare Arms
No50771 - Nightmare Arms CV
No50773 - Nightmare Arms GV
No50790 - Exalia Arms
No50791 - Exalia Arms CV
No50800 - Exmarie Arms
No50810 - Anfang Arms
No50820 - Solis Arm
No50821 - Solis Arm CV
No50850 - Furta Arms
No50870 - Urien Arm


basewear
Group 0
No100010 - メイズクォーター[Se]
No100019 - ￥[NPC]ＮＥＷアッシュ　ＴＶ１　Ｃ１[Se]
No100020 - オペラーテユニヴス[Ba]
No100029 - ￥[NPC]オペレータ男性服]　ＴＶ１　Ｃ１[Ba]
No100030 - クラークユニヴス[Ba]
No100039 - ￥[NPC]セントラルショップ店員男性　ＴＶ１　Ｃ１[Ba]
No100060 - N-シークイェーガー[Se]
No100061 - N-シークイェーガー/2[Se]
No100070 - N-カースドコート[Se]
No100071 - N-カースドコート/2[Se]
No100080 - N-ディレクトスラックス[Ba]
No100081 - N-ディレクトスラックス/2[Ba]
No100082 - N-ディレクトスラックス/3[Ba]
No100083 - N-ディレクトスラックス/4[Ba]
No100090 - N-ドラグナーコート[Se]
No100091 - N-ドラグナーコート/2[Se]
No100100 - N-ウルティオン[Se]
No100101 - N-ウルティオン/2[Se]
No100102 - N-ウルティオン/3[Se]
No100103 - N-ウルティオン/4[Se]
No100110 - センティルトコート[Se]
No100120 - エアリオウォルダ[Ba]
No100121 - エアリオウォルダ/2[Ba]
No100130 - ヴァンフォルテス[Ba]
No100131 - ヴァンフォルテス/2[Ba]
No100140 - クーヴェルウィーズ[Se]
No100141 - クーヴェルウィーズ/2[Se]
No100180 - N-クローズクォーター[Ba]
No100181 - N-クローズクォーター/2[Ba]
No100182 - N-クローズクォーター/3[Ba]
No100183 - N-クローズクォーター/4[Ba]
No100190 - N-カナギセイカイ[Se]
No100191 - N-カナギセイカイ/2[Se]
No100192 - N-カナギセイカイ/3[Se]
No100193 - N-カナギセイカイ/4[Se]
No100260 - アルテヴァトラーヌ[Ba]
No100261 - アルテヴァトラーヌ/2[Ba]
No100262 - アルテヴァトラーヌ/3[Ba]
No100263 - アルテヴァトラーヌ/4[Ba]
No100280 - ヴァンアルティメラ[Se]
No100281 - ヴァンアルティメラ/2[Se]
No100300 - プリテールディーノ[Se]
No100301 - プリテールディーノ/2[Se]
No100302 - プリテールディーノ/3[Se]
No100303 - プリテールディーノ/4[Se]
No100310 - マールナフィーロ[Ba]
No100311 - マールナフィーロ/2[Ba]
No100319 - ￥[NPC]セントラル普段着男[Ba]
No100340 - マーレスゼファー[Ba]
No100341 - マーレスゼファー/2[Ba]
No100342 - マーレスゼファー/3[Ba]
No100343 - マーレスゼファー/4[Ba]
No100400 - フォーメルクライド[Se]
No100401 - フォーメルクライド/2[Se]
No100402 - フォーメルクライド/3[Se]
No100403 - フォーメルクライド/4[Se]
No100640 - エアリオナダール[Ba]
No100650 - N-シークイェーガー/B[Se]
No100651 - N-シークイェーガー/B2[Se]
No100660 - N-カースドコート/B[Se]
No100661 - N-カースドコート/B2[Se]
No100670 - N-ドラグナーコート/B[Se]
No100671 - N-ドラグナーコート/B2[Se]
No100680 - メイズクォーター/B[Se]
No100690 - メイズクォーター/C[Se]
No100720 - センティルトコート/B[Se]
No100730 - センティルトコート/C[Se]
No100760 - クーヴェルウィーズ/B[Se]
No100770 - クーヴェルウィーズ/C[Se]
No100790 - エアリオウォルダ/B[Ba]
No100791 - エアリオウォルダ/B2[Ba]
No20001 - ヒューマンベースＭ
No200010 - N-オールブリンク[Se]
No200011 - N-オールブリンク/2[Se]
No20002 - ニューマンベースＭ
No20003 - デューマンベースＭ
No200030 - オペラーテユニファ[Ba]
No200039 - ￥[NPC]オペレータ女性服　ＴＶ１　Ｃ１[Ba]
No20004 - キャストベースＭ
No200040 - アライアクォーツ[Se]
No200049 - ￥[NPC]ＮＥＷスゥ　ＴＶ１　Ｃ１[Se]
No200060 - ￥マノン　ＴＶ１　Ｃ１[Se]
No200069 - ￥[NPC]マノン服[Set][Se]
No200070 - ウィオラマリル[Se]
No200079 - ￥[NPC]ＮＥＷルピカ　ＴＶ１　Ｃ１[Se]
No200080 - マールナチュール[Ba]
No200081 - マールナチュール/2[Ba]
No200089 - ￥[NPC]セントラル普段着女　ＴＶ１　Ｃ１[Ba]
No200090 - N-ショコラフェリチェ[Ba]
No200091 - N-ショコラフェリチェ/2[Ba]
No200100 - N-エーデルゼリン[Ba]
No200101 - N-エーデルゼリン/2[Ba]
No200102 - N-エーデルゼリン/3[Ba]
No200103 - N-エーデルゼリン/4[Ba]
No200110 - N-マギアセイヴァー[Se]
No200111 - N-マギアセイヴァー/2[Se]
No200120 - クラークユニファ[Ba]
No200130 - N-タウリアラーグ[Se]
No200131 - N-タウリアラーグ/2[Se]
No200140 - N-オウカテンコウ[Ba]
No200141 - N-オウカテンコウ/2[Ba]
No200150 - N-ピュアメイドドレス[Se]
No200151 - N-ピュアメイドドレス/2[Se]
No200152 - N-ピュアメイドドレス/3[Se]
No200153 - N-ピュアメイドドレス/4[Se]
No200160 - N-ウィオラマギカ[Se]
No200161 - N-ウィオラマギカ/2[Se]
